Importer,Value
Sweden,26769.6531
Sweden,84.8459719
Sweden,8967.58242
Sweden,11274.17307
Switzerland,3777.774113
Switzerland,16991.89034
Switzerland,
Switzerland,21519.60333
Switzerland,544.758
Switzerland,12809.96416
Syria,520.291
Syria,17816.221
Syria,4944.225
Tajikistan,3287.451
Tajikistan,70779.355
Tajikistan,1981.576
Thailand,109358.4657
Thailand,2280173.018
Thailand,21.442
Thailand,863197.8636
Thailand,258242.92
Thailand,46444.074
Togo,250.5619225
Togo,85936.1578
Togo,5080.109153
Togo,352.459
Tonga,17.51
Tonga,594.935
Tonga,93.864
Trinidad and Tobago,823.724
Trinidad and Tobago,31524.207
Trinidad and Tobago,3877.295
United Arab Emirates,47408.1168
United Arab Emirates,941007.111
United Arab Emirates,0.493
United Arab Emirates,274882.0753
United Arab Emirates,20889.999
United Arab Emirates,30643.87212
Tunisia,189.5639721
Tunisia,81982.14248
Tunisia,16407.29242
Tunisia,524.424
Turkey,31473.13831
Turkey,1589740.054
Turkey,403
Turkey,173434.1428
Turkey,2609.768
Turkey,40039.6073
Turkmenistan,2493.234
Turkmenistan,11502.316
Turkmenistan,3322.341
Turkmenistan,0.484
Uganda,7834.791398
Uganda,41409.72927
Uganda,2195.117371
Uganda,6.824
Ukraine,7726.049853
Ukraine,122152.2389
Ukraine,53.554
Ukraine,40111.27593
Ukraine,13277.55887
Macedonia FYR,1291.237976
Macedonia FYR,12159.89332
Macedonia FYR,1198.993582
Macedonia FYR,1201.198594
Egypt,17620.64768
Egypt,564885.6133
Egypt,87896.82312
Egypt,961.423
Egypt,3493.395126
United Kingdom,75908.63756
United Kingdom,478284.028
United Kingdom,225389.3965
United Kingdom,37.27976444
United Kingdom,63173.83201
Tanzania,3733.102998
Tanzania,113649.5564
Tanzania,25216.83206
Tanzania,0.315
Tanzania,480.575
United States,499755.4827
United States,2082928.773
United States,4952.323
United States,1618050.485
United States,54983.4402
United States,403784.1163
Burkina Faso,4820.373899
Burkina Faso,50820.60484
Burkina Faso,800.4413953
Uruguay,718.8319127
Uruguay,22568.35668
Uruguay,9663.529998
Uruguay,3.676
Uzbekistan,3144.066
Uzbekistan,142873.665
Uzbekistan,15889.429
Uzbekistan,2359.161
Venezuela,3262.983
Venezuela,321599.826
Venezuela,8186.704
Venezuela,126.6
Wallis and Futuna Isds,107.378
Samoa,285.1904598
Samoa,2350.262528
Samoa,236.3367516
Samoa,0.184
Yemen,1647.045971
Yemen,44244.82066
Yemen,7876.102557
Yemen,2.935
Zambia,630.6765209
Zambia,22699.76514
Zambia,1826.463312
Zambia,133.904
